Entity,Year,Total wealth per capita,Produced capital,"Natural capital, renewable (excluding sub-soil assets)","Forest, timber","Forest, non-timber",Protected areas,Cropland,Pastureland,"Sub-soil assets (fossil energy resources, metals and minerals)","Fossil energy resources (oil, natural gas, coal)",Oil,Natural gas,Coal,Metals and minerals,Human capital,"Human capital, male","Human capital, female",Net foreign assets,Adjusted net national income,Adjusted net saving,GDP,Gross national income,"Natural capital (timber, non-timber, protected areas, land, sub-soil assets)","Land (crop, pasture)"
Albania,1995,31372.98,9770.88,10055.26,743.32,371.35,17.22,,,,834.55,,,,109.23,10676.01,,,-72.95,,,,,,8923.37
Albania,2000,29610.35,10495.80,8302.46,57.13,378.42,28.45,,,,364.05,,,,0.00,10757.17,,,-309.13,,,,,,7838.45
Albania,2005,35801.06,13889.29,9034.33,43.46,394.77,65.33,,,,470.13,,,,24.03,12905.30,,,-522.01,,,,,,8530.77
Albania,2010,47548.81,17561.26,8995.68,68.56,404.94,127.88,,,,933.69,,,,399.08,21097.73,,,-1438.63,,,,,,8394.30
Albania,2014,53107.24,18807.68,11284.08,180.30,405.63,170.28,,,,1752.93,,,,338.26,22818.33,,,-1894.06,,,,,,10527.87
Argentina,1995,101364.38,32865.78,9546.24,102.43,3285.25,400.25,,,,642.81,,,,7.07,59968.78,,,-1666.31,,,,,,5758.31
Argentina,2000,116973.34,33956.99,9298.57,128.51,2965.87,393.26,,,,1089.01,,,,90.68,75451.72,,,-2913.63,,,,,,5810.93
Argentina,2005,108954.02,36828.58,13493.28,263.37,2660.15,618.89,,,,2688.08,,,,342.13,56195.26,,,-593.31,,,,,,9950.87
Argentina,2010,126328.79,37701.13,13363.27,295.00,2393.04,694.48,,,,3807.70,,,,1063.13,69921.65,,,471.90,,,,,,9980.75
Argentina,2014,126516.06,37869.34,12253.58,320.18,2199.91,581.48,,,,2966.98,,,,964.30,71429.27,,,1032.58,,,,,,9152.01
Armenia,1995,18937.75,5912.94,5283.47,10.71,75.66,878.04,,,,0.00,,,,60.24,7673.81,,,7.29,,,,,,4319.06
Armenia,2000,23081.78,7209.93,6481.97,4.90,79.04,1780.06,,,,0.00,,,,82.29,10323.66,,,-1016.06,,,,,,4617.97
Armenia,2005,33904.23,9522.34,6417.82,10.76,80.40,1494.51,,,,0.00,,,,288.37,18736.13,,,-1060.44,,,,,,4832.15
Armenia,2010,45944.64,15920.97,8381.97,85.40,81.55,1880.38,,,,0.00,,,,1052.17,23020.09,,,-2430.56,,,,,,6334.64
Armenia,2014,52893.84,15450.82,10552.17,183.04,80.59,2634.67,,,,0.00,,,,2149.77,27329.41,,,-2588.32,,,,,,7653.87
Australia,1995,688270.63,203166.84,86005.61,2309.19,67379.83,1476.57,,,,4053.31,,,,9487.28,409659.93,,,-24102.35,,,,,,14840.03
Australia,2000,739021.08,217113.94,82113.53,2243.36,63651.00,1388.70,,,,4873.55,,,,11236.58,447624.94,,,-23941.46,,,,,,14830.46
Australia,2005,864772.29,281795.32,79595.41,2277.11,59218.68,2040.02,,,,13080.82,,,,21549.79,499529.08,,,-30778.13,,,,,,16059.60
Australia,2010,998606.30,311345.85,70124.36,2378.42,52916.17,2151.69,,,,32682.73,,,,75000.21,548781.70,,,-39328.55,,,,,,12678.07
Australia,2014,1046785.26,311442.43,65749.57,1626.04,50190.04,2034.60,,,,25475.34,,,,89567.19,585737.46,,,-31186.74,,,,,,11898.89
Austria,1995,531269.26,171927.37,16588.73,845.23,4973.69,3096.85,,,,188.60,,,,0.00,348599.19,,,-6034.63,,,,,,7672.95
Austria,2000,560869.30,199895.73,13795.32,845.63,4974.58,2593.42,,,,193.06,,,,0.00,356413.44,,,-9428.24,,,,,,5381.69
Austria,2005,569649.23,212560.31,13526.00,826.81,4860.23,2675.12,,,,303.82,,,,44.15,353572.26,,,-10357.31,,,,,,5163.84
Austria,2010,643473.56,243213.01,14210.28,1008.02,4792.62,3079.82,,,,379.73,,,,496.72,389435.41,,,-4261.59,,,,,,5329.82
Austria,2014,694616.19,256743.88,15258.33,945.82,4701.40,3704.30,,,,396.36,,,,610.85,421845.75,,,-238.98,,,,,,5906.80
Azerbaijan,1995,28149.25,12658.60,4614.91,2.20,143.83,270.75,,,,5435.21,,,,0.00,5590.51,,,-149.99,,,,,,4198.13
Azerbaijan,2000,22262.31,9167.69,4419.92,1.77,138.93,363.93,,,,3974.24,,,,0.00,6020.25,,,-1319.79,,,,,,3915.29
Azerbaijan,2005,44340.28,12503.73,6146.07,2.15,134.07,722.54,,,,19132.25,,,,0.91,9238.95,,,-2681.63,,,,,,5287.31
Azerbaijan,2010,69076.15,10892.37,8768.19,0.71,142.83,1265.59,,,,32174.54,,,,76.35,12200.25,,,4964.44,,,,,,7359.05
Azerbaijan,2014,85340.62,20061.24,9997.00,8.40,149.74,1905.06,,,,35811.18,,,,126.94,11960.71,,,7383.55,,,,,,7933.80
Bahrain,1995,315831.88,120853.38,1203.21,0.56,0.56,14.14,,,,12011.29,,,,0.00,157655.61,,,24108.39,,,,,,1187.95
Bahrain,2000,277561.76,84454.32,836.53,0.50,0.60,18.26,,,,8800.65,,,,0.00,164512.09,,,18958.17,,,,,,817.17
Bahrain,2005,279132.92,90039.18,376.53,0.29,0.55,14.56,,,,8361.52,,,,0.00,162911.64,,,17444.04,,,,,,361.14
Bahrain,2010,253852.58,76034.44,359.31,0.27,0.45,12.67,,,,12523.58,,,,0.00,147588.95,,,17346.31,,,,,,345.93
Bahrain,2014,270310.66,76788.06,575.77,0.38,0.46,12.44,,,,13451.23,,,,0.00,157679.38,,,21816.22,,,,,,562.49
Bangladesh,1995,5667.39,1426.03,1373.12,3.00,7.65,15.50,,,,11.18,,,,0.00,3061.19,,,-204.14,,,,,,1346.97
Bangladesh,2000,5788.46,1362.61,1085.40,1.97,6.84,26.36,,,,17.71,,,,0.00,3496.02,,,-173.28,,,,,,1050.23
