Entity,Year,Total wealth,Produced capital (including urban land),"Natural capital (timber, non-timber, protected areas, land, sub-soil assets)","Natural capital, renewable (excluding sub-soil assets)","Forest, timber","Forest, non-timber",Protected areas,"Land (crop, pasture)",Cropland,Pastureland,"Sub-soil assets (fossil energy resources, metals and minerals)","Fossil energy resources (oil, natural gas, coal)",Oil,Natural gas,Coal,Metals and minerals,Human capital,"Human capital, total male","Human capital, total female",Net foreign assets,Adjusted net national income,Adjusted net saving,Gross domestic product,Gross national income
East Asia & Pacific,1995,78011.30,15049.75,6407.92,,486.73,1101.71,387.56,,3085.95,726.86,,,347.86,31.17,86.29,154.86,56828.89,,,-275.27,,,,
East Asia & Pacific,2000,85103.37,18672.47,6950.65,,374.20,1051.91,462.96,,3649.53,823.62,,,347.37,25.19,42.23,174.74,59380.02,,,100.24,,,,
East Asia & Pacific,2005,90819.12,23823.79,8788.03,,290.43,1017.48,608.22,,4166.56,1108.49,,,532.67,66.55,578.01,421.46,57499.90,,,707.40,,,,
East Asia & Pacific,2010,118807.49,31541.47,13179.12,,399.50,971.11,709.53,,5076.02,1342.12,,,760.83,128.23,1919.64,1875.02,72468.28,,,1618.62,,,,
East Asia & Pacific,2014,140786.72,39184.56,14739.26,,375.31,956.19,900.42,,5981.87,1657.93,,,742.00,154.90,1809.49,2164.18,85078.97,,,1783.94,,,,
East Asia & Pacific (developing countries),1995,31261.05,5201.58,5721.77,,505.86,331.54,392.57,,3292.26,657.95,,,367.53,29.90,75.58,68.59,20770.87,,,-433.18,,,,
East Asia & Pacific (developing countries),2000,37507.34,7294.32,6330.00,,383.34,320.76,474.19,,3888.48,785.99,,,353.29,23.02,30.09,70.86,24193.36,,,-310.34,,,,
East Asia & Pacific (developing countries),2005,44096.82,10713.76,8165.88,,290.57,321.52,627.17,,4451.76,1092.34,,,552.70,63.03,541.20,225.57,25085.78,,,131.40,,,,
East Asia & Pacific (developing countries),2010,71423.50,16945.22,12177.26,,405.31,319.06,731.05,,5443.30,1352.09,,,766.50,114.38,1845.08,1200.49,41612.11,,,688.91,,,,
East Asia & Pacific (developing countries),2014,91581.02,24017.84,13771.66,,385.79,315.91,940.77,,6432.90,1707.13,,,776.63,147.33,1756.39,1308.81,53387.05,,,404.48,,,,
Europe & Central Asia,1995,280322.64,90557.94,13886.75,,584.37,1421.78,1257.73,,3749.93,3105.14,,,1767.24,1556.47,306.52,153.58,176534.96,,,-657.00,,,,
Europe & Central Asia,2000,301280.44,95220.23,13535.90,,554.87,1445.16,1459.73,,3095.62,2877.58,,,2531.79,1354.29,133.68,104.06,193916.37,,,-1392.06,,,,
Europe & Central Asia,2005,329477.26,106041.79,17028.64,,544.87,1451.13,1521.70,,2935.75,2563.13,,,4621.49,2662.65,459.74,306.37,208334.07,,,-1927.23,,,,
Europe & Central Asia,2010,356911.30,119124.64,19335.67,,473.84,1453.91,1572.04,,2875.63,2455.68,,,5985.36,2386.79,890.72,1287.69,221080.49,,,-2629.50,,,,
Europe & Central Asia,2014,368232.90,122870.25,19376.67,,468.07,1446.96,1703.72,,3058.64,2670.16,,,5955.71,2201.75,601.80,1314.63,227581.23,,,-1595.24,,,,
Europe & Central Asia (developing countries),1995,51967.09,23547.47,14699.22,,328.48,516.90,324.86,,6127.62,5049.28,,,642.80,1077.81,428.68,202.78,14559.64,,,-839.24,,,,
Europe & Central Asia (developing countries),2000,47275.89,20506.90,12427.26,,268.54,521.27,351.45,,4732.08,4874.38,,,849.69,548.59,135.49,145.76,15987.81,,,-1646.08,,,,
Europe & Central Asia (developing countries),2005,56494.42,22950.35,14845.95,,218.57,530.35,544.03,,4628.96,4398.93,,,2462.86,1120.41,484.01,457.83,20565.65,,,-1867.53,,,,
Europe & Central Asia (developing countries),2010,66066.17,26115.37,18760.01,,200.73,532.50,647.38,,4579.23,4356.71,,,4611.08,1314.07,930.03,1588.28,24064.12,,,-2873.33,,,,
Europe & Central Asia (developing countries),2014,70529.78,27760.36,19978.29,,232.59,529.13,892.28,,5015.13,4893.95,,,4858.91,1340.81,633.43,1582.06,26115.66,,,-3324.52,,,,
High income: non-OECD,1995,165884.11,68725.65,34140.47,,945.52,1888.69,2040.92,,2667.41,1892.74,,,20060.97,3948.36,414.87,281.00,59375.97,,,3642.02,,,,
High income: non-OECD,2000,165560.73,51475.23,37788.89,,871.89,1817.33,2407.05,,2270.64,1938.50,,,24229.06,3801.69,233.91,218.82,69451.04,,,6845.57,,,,
High income: non-OECD,2005,199484.64,49684.31,57889.98,,922.18,1741.08,2480.31,,2665.45,1970.21,,,39450.50,7308.94,741.46,609.85,84507.29,,,7403.06,,,,
High income: non-OECD,2010,245512.79,54769.14,74088.58,,670.18,1644.32,2149.35,,2409.79,1862.78,,,54857.39,6783.59,1347.97,2363.23,107517.68,,,9137.39,,,,
High income: non-OECD,2014,264998.14,59095.86,80104.47,,601.95,1567.29,1851.41,,2309.61,1700.36,,,61935.38,7076.14,846.48,2215.85,111792.78,,,14005.04,,,,
High income: OECD,1995,551184.37,126197.86,13535.29,,681.60,4778.62,1101.13,,2570.02,2245.08,,,754.37,454.23,498.05,452.20,412757.08,,,-1305.86,,,,
High income: OECD,2000,617801.27,145414.64,13321.33,,630.01,4670.69,1175.77,,2494.21,1950.92,,,750.46,622.31,602.06,424.90,461959.38,,,-2894.09,,,,
High income: OECD,2005,655227.86,168508.30,14793.27,,532.73,4544.82,1096.63,,2271.71,1754.32,,,1385.01,1232.41,1161.64,813.99,474872.07,,,-2945.79,,,,
High income: OECD,2010,674542.32,185602.77,19241.82,,521.16,4413.10,1323.26,,2639.97,1837.44,,,2090.41,1102.46,2328.35,2985.68,472946.49,,,-3248.77,,,,
High income: OECD,2014,709915.86,195928.60,19525.08,,499.62,4365.55,1600.40,,3017.02,2031.31,,,2049.48,344.93,2122.26,3494.51,499926.65,,,-5464.47,,,,
Latin America & Caribbean,1995,112288.47,25468.54,17849.13,,698.11,5474.82,1575.74,,3214.53,3840.68,,,2170.45,79.73,12.52,787.11,70897.94,,,-1927.14,,,,
Latin America & Caribbean,2000,113674.74,25714.61,16284.59,,546.78,4939.94,1724.61,,3061.79,3280.72,,,2021.56,73.70,2.44,637.20,74398.19,,,-2722.65,,,,
Latin America & Caribbean,2005,124248.89,27858.75,19793.30,,608.62,4493.10,2430.13,,3670.56,3686.29,,,3097.38,134.57,46.12,1631.05,78924.92,,,-2328.08,,,,
Latin America & Caribbean,2010,137548.06,30133.34,24292.15,,607.69,4144.56,3187.88,,3810.88,3939.55,,,3893.74,191.16,155.41,4366.74,85812.83,,,-2690.25,,,,
Latin America & Caribbean,2014,144242.90,32568.35,25346.98,,733.45,3925.86,3675.96,,4278.32,3872.20,,,4171.41,178.46,141.13,4375.80,88699.98,,,-2372.41,,,,
Latin America & Caribbean (developing countries),1995,112848.57,24221.28,17688.25,,745.11,5823.33,1617.32,,3378.48,4135.27,,,1376.56,46.67,13.82,551.70,72936.77,,,-1997.73,,,,
Latin America & Caribbean (developing countries),2000,112977.24,24300.96,16002.64,,579.93,5243.19,1817.07,,3165.90,3526.04,,,1172.26,38.53,2.88,456.84,75472.27,,,-2798.63,,,,
Latin America & Caribbean (developing countries),2005,125447.80,26681.24,19050.73,,637.31,4765.01,2702.27,,3672.78,3911.28,,,1939.09,73.44,49.90,1299.66,82396.61,,,-2680.78,,,,
Latin America & Caribbean (developing countries),2010,136665.02,29154.94,23106.52,,619.08,4392.12,3595.45,,3860.26,4169.21,,,2706.48,119.55,175.85,3468.51,87687.93,,,-3284.37,,,,
Latin America & Caribbean (developing countries),2014,140662.82,29233.14,24340.92,,752.13,4156.96,4187.04,,4359.31,4164.41,,,2925.67,125.03,162.94,3507.43,90191.28,,,-3102.52,,,,
Low income,1995,11600.55,1938.72,6214.36,,730.23,194.80,1268.11,,2114.68,1767.04,,,22.70,0.00,15.76,111.76,3920.53,,,-473.05,,,,
Low income,2000,10435.08,1730.46,5042.96,,696.52,164.53,964.53,,1824.13,1349.48,,,20.64,0.00,7.74,24.81,4015.66,,,-354.00,,,,
Low income,2005,10240.09,1611.50,4911.57,,561.29,139.46,945.92,,1843.21,1261.68,,,156.12,2.92,11.60,59.07,4045.93,,,-328.91,,,,
Low income,2010,11802.10,1536.48,6029.38,,585.70,117.93,1189.82,,2333.86,1471.30,,,210.98,11.87,15.93,191.85,4446.90,,,-210.66,,,,
Low income,2014,13629.26,1967.00,6420.94,,564.82,103.39,1194.67,,2472.21,1517.88,,,213.57,20.37,15.60,416.03,5563.69,,,-322.37,,,,
Lower middle income,1995,17717.64,4110.89,6176.17,,229.99,159.23,409.03,,3022.28,1452.70,,,730.44,35.16,75.48,67.12,7991.98,,,-561.40,,,,
Lower middle income,2000,16744.96,4039.45,5305.43,,186.29,138.98,384.24,,2492.43,1292.81,,,665.60,31.13,53.37,66.13,7917.33,,,-517.24,,,,
Lower middle income,2005,19426.00,5010.86,5490.36,,131.58,125.94,333.12,,2396.41,1215.55,,,914.23,89.18,147.24,144.98,9300.59,,,-375.82,,,,
Lower middle income,2010,23674.80,5937.41,6793.77,,137.61,113.72,403.00,,2654.28,1377.27,,,1145.17,147.91,367.45,455.89,11420.69,,,-477.07,,,,
Lower middle income,2014,25947.60,6531.24,6949.44,,137.64,105.35,500.38,,2646.24,1616.33,,,952.65,145.31,372.93,479.91,13116.55,,,-649.63,,,,
Middle East & North Africa,1995,91202.87,24022.17,26707.87,,24.62,35.38,231.10,,2231.56,2581.31,,,21303.60,365.08,0.49,18.42,35620.07,,,4852.76,,,,
Middle East & North Africa,2000,95075.67,20235.45,28865.28,,24.15,32.54,343.88,,2022.77,2333.51,,,24093.69,451.19,0.11,33.61,39177.46,,,6797.48,,,,
Middle East & North Africa,2005,113730.98,19319.41,44194.83,,18.44,30.40,504.22,,2095.11,2215.46,,,39100.82,961.75,0.17,41.28,44513.12,,,5703.62,,,,
Middle East & North Africa,2010,143964.53,22444.67,63548.44,,13.56,27.61,683.50,,2292.06,2699.37,,,56517.59,1991.42,0.00,452.10,50439.92,,,7531.51,,,,
Middle East & North Africa,2014,158892.30,23984.08,70136.75,,19.15,25.05,879.58,,2164.72,2512.84,,,62278.07,3008.18,0.00,517.28,54870.98,,,9900.49,,,,
Middle East & North Africa (developing countries),1995,24972.82,6412.34,6799.89,,28.37,32.51,107.60,,2276.53,2771.35,,,1509.42,52.24,0.57,21.31,12622.30,,,-861.71,,,,
