Entity,Year,Number of sovereign countries having granted universal suffrage to women (relative to 'ordered' milestones) ,Number of sovereign countries having elected first female MP (relative to 'ordered' milestones) ,Number of sovereign countries having had at least 10% women in parliament (relative to 'ordered' milestones) ,Number of sovereign countries having had at least 20% women in parliament (relative to 'ordered' milestones) ,Number of sovereign countries having had at least 30% women in parliament (relative to 'ordered' milestones),Share of sovereign countries having granted universal suffrage to women (relative to 'ordered' milestones),Share of sovereign countries having elected first female MP (relative to 'ordered' milestones),Share of sovereign countries having had at least 10% women in parliament (relative to 'ordered' milestones) ,Share of sovereign countries having had at least 20% women in parliament (relative to 'ordered' milestones),Share of sovereign countries having had at least 30% women in parliament (relative to 'ordered' milestones),Number of sovereign countries ,Number of sovereign countries having granted universal suffrage to women  ,Number of sovereign countries having elected first female MP ,Number of sovereign countries having had at least 10% women in parliament ,Number of sovereign countries having had at least 20% women in parliament,Number of sovereign countries having had at least 30% women in parliament ,Share of sovereign countries having granted universal suffrage to women ,Share of sovereign countries having elected first female MP  ,Share of sovereign countries having had at least 10% women in parliament ,Share of sovereign countries having had at least 20% women in parliament ,Share of sovereign countries having had at least 30% women in parliament
World,1907,,,,,,2.0408163,,,,,,,,,,,2.0408163,,,,
World,1908,,,,,,2,,,,,,,,,,,2,,,,
World,1909,,,,,,2,,,,,,,,,,,2,,,,
World,1910,,,,,,1.9607843,,,,,,,,,,,1.9607843,,,,
World,1911,,,,,,1.9607843,,,,,,,,,,,1.9607843,1.9607843,,,
World,1912,,,,,,1.9230769,,,,,,,,,,,1.9230769,1.9230769,,,
World,1913,,,,,,3.8461537,1.9230769,,,,,,,,,,3.8461537,1.9230769,,,
World,1914,,,,,,3.8461537,1.9230769,,,,,,,,,,3.8461537,1.9230769,,,
World,1915,,,,,,5.7692308,1.9230769,,,,,,,,,,5.7692308,1.9230769,,,
World,1916,,,,,,5.7692308,1.9230769,,,,,,,,,,5.7692308,1.9230769,,,
World,1917,,,,,,7.5471697,3.7735848,,,,,,,,,,7.5471697,5.6603775,,,
World,1918,,,,,,12.068966,5.1724138,,,,,,,,,,12.068966,10.344828,,,
World,1919,,,,,,16.949152,13.559322,,,,,,,,,,16.949152,16.949152,,,
World,1920,,,,,,22.033897,15.254237,,,,,,,,,,22.033897,16.949152,,,
World,1921,,,,,,21.311476,16.393442,,,,,,,,,,21.311476,22.950819,,,
World,1922,,,,,,22.222221,17.460318,,,,,,,,,,22.222221,23.809525,,,
World,1923,,,,,,21.875,17.1875,,,,,,,,,,21.875,23.4375,,,
World,1924,,,,,,23.4375,17.1875,,,,,,,,,,23.4375,23.4375,,,
World,1925,,,,,,23.4375,17.1875,,,,,,,,,,23.4375,23.4375,,,
World,1926,,,,,,23.4375,17.1875,,,,,,,,,,23.4375,23.4375,,,
