Entity,Year,"Expenditure per student as % of GDP (primary), 1974-2014 (World Bank (2015))","Teacher-pupil ratio (primary), 1970-2014 (World Bank (2015))","Government expenditure per student, primary (% of GDP per capita) (World Bank (2015))","Government expenditure per student, secondary (% of GDP per capita) (World Bank (2015))","Government expenditure per student, tertiary (% of GDP per capita) (World Bank (2015))",Total government expenditure on education (World Bank (2015)),Share of education in government expenditure (World Bank (2015)),Expenditure on primary as % of government expenditure on education (World Bank (2015))
Afghanistan,2010,,,,,,4.51116,22.24014,
Afghanistan,2011,,,,,,4.08791,19.10585,
Afghanistan,2012,,,,,,3.12561,12.82317,
Afghanistan,2013,,,,,,4.57747,18.4612,
Afghanistan,2014,,,,,,4.6191,18.39787,
Albania,1996,,,,,,3.27428,,
Albania,1997,,,,,,3.47532,11.15339,
Albania,1998,,,,,,3.30127,9.62407,
Albania,1999,,,,,,3.36038,9.68246,
Albania,2000,,,,,,3.23823,10.13703,
Albania,2001,,,,,,3.31589,10.58193,
Albania,2002,,,,,,3.04681,9.88692,
Albania,2003,,,,,,3.11557,10.5736,
Albania,2004,,,,,,3.10656,10.70316,
Albania,2005,,,,,,3.15439,11.35797,
Albania,2006,,,,,,3.10882,10.93295,
Albania,2007,,,,,,3.26868,11.17719,
Albania,2013,,,,,,3.50083,12.12391,56.93594
Algeria,1999,12.44347,,12.44347,21.51123,,,,
Algeria,2000,10.11494,,10.11494,17.74353,,,,
Algeria,2002,11.23548,,11.23548,18.22803,,,,
Algeria,2003,11.73824,,11.73824,18.26467,,,,
Algeria,2008,,,,,,4.33702,11.42941,
American Samoa,1974,,,,0,,,,
American Samoa,1975,,,,0,,,,
American Samoa,1976,,,,0,,,,
Andorra,1997,,,,,,3.71328,,
Andorra,2002,9.47203,,9.47203,7.39715,36.95785,1.69684,,27.13887
Andorra,2004,10.44922,,10.44922,8.78606,22.82607,1.53254,,29.27523
Andorra,2005,9.82154,,9.82154,9.17158,18.87113,1.60025,,24.13593
Andorra,2006,12.34146,,12.34146,12.58358,37.18791,2.19399,,23.76173
Andorra,2007,12.06832,,12.06832,13.44735,,2.07405,,25.64062
Andorra,2008,,,,,,2.93457,,
Andorra,2009,14.66964,,14.66964,16.61308,,3.16387,,26.37233
Andorra,2010,15.80389,,15.80389,12.31875,,3.0658,,28.89524
Andorra,2011,16.62208,,16.62208,12.63239,,3.15889,,28.80875
Andorra,2013,15.41457,,15.41457,16.221,16.63944,2.46258,,32.14382
Andorra,2014,,,,,,,,22.28986
Angola,1998,,,,,,2.59149,6.11468,
Angola,2000,,,,,,2.60753,5.25508,
Angola,2005,,,,,78.96182,2.7762,7.99235,36.49876
Angola,2006,,,,,87.49619,2.85969,7.45481,31.43351
Angola,2010,,,,,,3.47644,8.68476,
Antigua and Barbuda,1999,,,,,,3.23707,12.52143,33.10893
Antigua and Barbuda,2002,,,,,,3.44539,8.85597,28.55169
Antigua and Barbuda,2009,8.13557,,8.13557,12.46717,15.63166,2.55447,6.91662,41.61324
Antigua and Barbuda,2011,,,,9.79205,,,,
Argentina,1996,,,,,,3.73198,,
Argentina,1998,10.96493,,10.96493,15.13345,20.21922,4.03987,15.62227,35.07048
Argentina,1999,12.86519,,12.86519,18.21984,17.67884,4.52168,15.88009,36.34503
Argentina,2000,12.76096,,12.76096,17.60592,17.34825,4.58031,16.22696,35.69129
Argentina,2001,14.3596,,14.3596,18.88809,16.0873,4.83374,16.35761,37.91883
Argentina,2002,11.21425,,11.21425,16.9277,13.04688,4.01734,16.44329,35.4339
Argentina,2003,10.91502,,10.91502,14.29277,10.3394,3.53505,14.36279,38.0148
Argentina,2004,9.43882,,9.43882,13.06857,9.82797,3.15654,15.1602,36.69546
Argentina,2005,9.87104,,9.87104,16.1007,10.47125,3.47405,15.80628,34.19573
Argentina,2006,10.65731,,10.65731,16.38335,11.48957,3.65499,16.35148,35.04241
Argentina,2007,11.56669,,11.56669,17.26721,12.31781,3.89635,15.82749,35.47537
Argentina,2008,12.81408,,12.81408,19.10376,13.28519,4.33782,16.62552,35.11319
Argentina,2009,13.65341,,13.65341,21.94269,15.45565,4.89,16.6149,32.80265
Argentina,2010,13.09005,,13.09005,19.96997,14.65417,4.60637,15.57046,33.05494
Argentina,2011,14.05367,,14.05367,22.02849,14.89013,4.98632,15.72955,31.96866
Argentina,2012,13.77982,,13.77982,19.63944,15.43793,5.09905,15.06353,31.79894
Argentina,2013,,,,,,5.3441,15.09043,30.03234
Armenia,1996,,,,,,1.84843,,
Armenia,1999,,,,,,2.23519,,
Armenia,2000,,,,,,2.77273,,
Armenia,2001,,,,,,2.46944,,
Armenia,2002,,,,,,2.13504,,
Armenia,2003,,,,,,2.14504,,
Armenia,2004,,,,,,2.48673,,
Armenia,2005,,,,,,2.71203,13.64809,
Armenia,2006,,,,,,2.71577,13.57852,
Armenia,2007,,,,,,3.01894,13.46559,
Armenia,2008,,,,,7.54396,3.17273,14.26845,
Armenia,2009,,,,,7.29828,3.84079,13.45122,
Armenia,2010,,,,,7.67896,3.249,12.40051,
Armenia,2011,,,,,7.43885,3.14385,12.59334,
Armenia,2012,16.20086,,16.20086,17.73514,7.24439,3.27524,13.70187,23.06896
