Entity,Year,Trust in others
Austria,2013,-5.9
Belgium,2013,5.7
Bulgaria,2013,4.2
Croatia,2013,5.1
Cyprus,2013,4.5
Czech Republic,2013,5.3
Denmark,2013,8.3
Estonia,2013,5.8
Finland,2013,7.4
France,2013,5
Germany,2013,5.5
Greece,2013,5.3
Hungary,2013,5.3
Iceland,2013,7
Ireland,2013,6.4
Italy,2013,5.7
Latvia,2013,6.5
Lithuania,2013,6.1
Luxembourg,2013,5.5
Malta,2013,6.2
Netherlands,2013,6.9
Norway,2013,7.3
Poland,2013,6
Portugal,2013,5.3
Romania,2013,6.4
Serbia,2013,4.2
Slovakia,2013,5.8
Slovenia,2013,6.5
Spain,2013,6.3
Sweden,2013,6.9
Switzerland,2013,6.4
United Kingdom,2013,6.1
